input file;carbon, runtime [s];carbon, exit condition;carbon, timeout;silicon, runtime [s];silicon, exit condition;silicon, timeout
../arp-plugin/performance/test_arp_enc/fields1.sil;7.8850587809997705;0;False;0.418080915000246;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.682686240000294;0;False;0.3655022929997358;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.735077516000274;0;False;0.3658385069998076;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.68242532999966;0;False;0.3660298119998515;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.6824454379998315;0;False;0.31624805900037245;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.885830017999979;0;False;0.31920646599974134;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.743503446999966;0;False;0.3152293160001136;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.632694398999774;0;False;0.36647447799987276;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.781066854000073;0;False;0.26496919800001706;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.8321519490000355;0;False;0.26548111000010977;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.683532199999718;0;False;0.26508848399998897;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.681474477999927;0;False;0.31520760600005815;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.632100737999735;0;False;0.3162977810002303;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.732562670999869;0;False;0.3173624910000399;0;False
../arp-plugin/performance/test_arp_enc/fields1.sil;7.63085917699982;0;False;0.2665378609999607;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;5.87822280599994;0;False;4.424707117999787;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;5.078820841999914;0;False;3.623087261999899;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.625722718000361;0;False;3.1724243599992406;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.525886019999234;0;False;3.071300316999441;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.47449880899967;0;False;3.1227656379996915;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.37435062699933;0;False;2.9714765759999864;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.432269390000329;0;False;3.024156823999874;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.429048904999945;0;False;2.9715092099995672;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.52425468399997;0;False;3.0719356210001934;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.375895338000191;0;False;2.872226758000579;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.381530726000165;0;False;2.922373353000694;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.427189826000358;0;False;2.9261155250005686;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.424340892000146;0;False;3.0210847979997197;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.424983728999905;0;False;2.886217666000448;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.325300094999875;0;False;2.820787884999845;0;False
../arp-plugin/performance/test_arp_enc/predicates2_enc_nodummy_noprax_nolog_nodomain.sil;4.375838585000565;0;False;2.821640948000095;0;False
