input file;carbon, runtime [s];carbon, exit condition;carbon, timeout;silicon, runtime [s];silicon, exit condition;silicon, timeout;silicon_timeout, runtime [s];silicon_timeout, exit condition;silicon_timeout, timeout
../arp-plugin/evaluation/performance/test_fast/quantifiers1_arps_enc.sil;4.029495418000806;0;False;36.84739601799993;0;False;37.44410295700072;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1_arps_enc.sil;3.5252061859991954;0;False;40.2033175079996;0;False;37.0982233600007;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1_arps_enc.sil;4.029778138999973;0;False;35.84522890399967;0;False;47.96879282900045;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1_arps_enc.sil;3.534203568000521;0;False;40.451079999000285;0;False;39.20137167199937;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.8254523119994701;0;False;1.1183603139998013;0;False;1.1712616610002442;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.7185812530005933;0;False;0.8673253879987897;0;False;0.9171386060006625;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.6685927660000743;0;False;0.9163781360002758;0;False;0.9172517889983283;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.7183856469982857;0;False;0.8164709450011287;0;False;0.8169609409997065;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.617931975000829;0;False;0.9669578110006114;0;False;0.9671053729998675;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.6178478540005017;0;False;0.7671313859991642;0;False;0.7676796880004986;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.6188417290013604;0;False;0.766323765999914;0;False;0.7670154280003771;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.568421636000494;0;False;0.7175160000006144;0;False;0.7664683329985564;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5682256600011897;0;False;0.717006142000173;0;False;0.7172194499999023;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5688416049997613;0;False;0.7185303250007564;0;False;0.7170095849996869;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.6183973290007998;0;False;0.7174820860000182;0;False;0.7170622689991433;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5687489379997714;0;False;0.6660075380004855;0;False;0.7165221199993539;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5677857749997202;0;False;0.7167917580009089;0;False;0.7162702709993027;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5681976319992827;0;False;0.6668450880006276;0;False;0.6669372270007443;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5680825710005593;0;False;0.6670309599994653;0;False;0.7160940739995567;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5675076640000043;0;False;0.7167579100005241;0;False;0.6685999439996522;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5687377539998124;0;False;0.6670738749999146;0;False;0.6668044660000305;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5174635699986538;0;False;0.7172896209995088;0;False;0.6686536520010122;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5689023570012068;0;False;0.6676157460005925;0;False;0.6664358189991617;0;False
../arp-plugin/evaluation/performance/test_fast/quantifiers1.sil;1.5680099309993238;0;False;0.6663153400004376;0;False;0.6664118540011259;0;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.8321565440001;0;False;2.2225096700003633;1;False;7.131716080000842;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.87602544499896;0;False;1.1222814220000146;1;False;7.432183044998965;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.373361706999276;0;False;1.7693003380009031;1;False;7.030776866000451;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;30.991350800000873;0;False;1.9191424210002879;1;False;6.234963987999436;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.32509743400078;0;False;1.718499366999822;1;False;7.881807294999817;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;20.86503820500002;0;False;1.8692984629997227;1;False;6.880475218998981;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;31.33941042799961;0;False;1.5684022240002378;1;False;6.93084241500037;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;36.6029701460011;0;False;1.719311982000363;1;False;10.237533708999763;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.176955541999632;0;False;1.668613602001642;1;False;6.630424355000287;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;29.384559944001012;0;False;2.370643692000158;1;False;6.630814273001306;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.02466949399968;0;False;1.922690892000901;1;False;5.929207123001106;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;22.67416252500152;0;False;0.9678123489993595;1;False;5.828969294998387;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;37.657236587001535;0;False;1.8688982009989559;1;False;6.078704771000048;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.986690711999472;0;False;0.9679475550001371;1;False;5.979103057999964;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;14.049309545000142;0;False;2.019321245001265;1;False;10.63952648600025;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;32.18778958999974;0;False;1.0179760840001109;1;False;6.4792302930000005;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;27.080721453001388;0;False;1.7198707989991817;1;False;9.184650690000126;1;False
