input file;arp_carbon, average runtime [s];arp_silicon, average runtime [s];carbon, average runtime [s];silicon, average runtime [s]
../silver/src/test/resources/all/basic/welldef.sil;3.7272608941499925;0.3763909570500232;3.4139920457999438;0.2234500102500192
../silver/src/test/resources/all/basic/assert.sil;3.950311472150065;0.3364383402500607;1.0507406333999825;0.20605851260006602
../silver/src/test/resources/all/basic/fresh.sil;3.7758771809999643;0.4973368837500402;3.754472346700004;0.2963246375500376
../silver/src/test/resources/all/basic/unique.sil;3.8886074911499917;0.33423148190006485;1.0476799143999869;0.2136466863999658
../silver/src/test/resources/all/basic/abstract_funcs_and_preds_consistency.sil;0.03576138404998801;0.04129815634996703;0.03146438090004722;0.04111607395011561
../silver/src/test/resources/all/basic/names.sil;3.945111449449905;0.2924967033999565;0.5846459227499053;0.194040427750042
../silver/src/test/resources/all/basic/methods.sil;4.283956641650036;0.5998133945499603;3.8976666396499695;0.33907071899997165
../silver/src/test/resources/all/basic/func2.sil;3.9310674746500807;0.3922920577500008;3.571557558099971;0.28412927724998555
../silver/src/test/resources/all/basic/quantifiers.sil;5.059640401100023;1.0187106197000504;3.7975706916000944;0.7410365499500358
../silver/src/test/resources/all/basic/fold.sil;3.5894554474998586;0.38886984279997705;2.294633383249811;0.23626983544991162
../silver/src/test/resources/all/basic/heap.sil;3.657173680749884;0.4217803392499263;3.8378696555998886;0.25895616640009395
../silver/src/test/resources/all/basic/while.sil;3.9352751136500954;0.6123705582000184;3.822586942499856;0.3237615539499984
../silver/src/test/resources/all/basic/func.sil;3.7119757026999194;0.3640878760000305;3.7364914832999374;0.24615618690002067
../silver/src/test/resources/all/basic/inex.sil;3.683579798150004;0.379063982249977;3.666352344500024;0.22883760985007484
../silver/src/test/resources/all/basic/syntax.sil;0.029408890700005942;0.043083114650039535;0.0260942558999659;0.03943497660002322
../silver/src/test/resources/all/basic/syntax2.sil;3.8148466791999;0.3570762172500963;1.1161136631000772;0.22830040745002406
../silver/src/test/resources/all/basic/func3.sil;3.943140398699961;0.42191073155004233;3.9750213750000056;0.27962307255006635
../silver/src/test/resources/all/basic/arithmetic.sil;3.6872279624000157;0.37919975470001643;3.6725796398000283;0.22874521504995754
../silver/src/test/resources/all/basic/funcpred.sil;3.852192781500014;0.47903413080002794;2.3398556160499764;0.3012197045999983
../silver/src/test/resources/all/basic/regression1.sil;3.7214735864500654;0.3925494818499374;2.274194748750051;0.24886810210005023
../silver/src/test/resources/all/basic/many_conjuncts.sil;4.523294758650036;2.967230378149998;4.35044987060005;0.44954829575003713
../silver/src/test/resources/all/basic/let.sil;3.756786534400021;0.4118440904500176;3.7665573980999625;0.27160952169992925
../silver/src/test/resources/all/basic/new.sil;3.716566410700034;0.5318044327500502;3.8977481853499283;0.3264387790499995
../silver/src/test/resources/all/basic/let_consistency_typechecker.sil;0.020883687599973656;0.0361496677499872;0.018626051599994753;0.03616335439996874
../silver/src/test/resources/all/basic/let_consistency_resolver.sil;0.028608031850058068;0.04141202195000915;0.025235589999988407;0.04121066365003116
../silver/src/test/resources/all/basic/consistency1.sil;0.05234999965005045;0.0641921452999668;0.046174469099878476;0.05638424755002234
../silver/src/test/resources/all/basic/elsif.sil;3.913152602899993;0.3838541684500001;1.067936338949994;0.25441066425000824
../silver/src/test/resources/all/basic/goto.sil;3.909910183549937;0.3344526798000743;1.0551776606000431;0.2133291283500512
../silver/src/test/resources/all/basic/unfolding.sil;5.211264532100017;0.9545674542499796;4.1953789481000285;0.6024657670000237
../silver/src/test/resources/all/basic/abstract_funcs_and_preds.sil;3.8094294810000067;0.4951609231000248;3.739491935849969;0.3145100619999539
