input file;arp_carbon, runtime [s];arp_carbon, exit condition;arp_carbon, timeout;arp_silicon, runtime [s];arp_silicon, exit condition;arp_silicon, timeout;carbon, runtime [s];carbon, exit condition;carbon, timeout;silicon, runtime [s];silicon, exit condition;silicon, timeout
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;4.500405604001571;0;False;14.068355973999132;0;False;3.4437609300002805;0;False;6.882430031000695;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.3938034560014785;0;False;12.461786659998324;0;False;3.1520466949987167;0;False;6.716824828003155;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.3363709170007496;0;False;12.315477674001158;0;False;3.1525474150002992;0;False;6.069579891998728;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.1462512649995915;0;False;12.368805895999685;0;False;3.1397312749977573;0;False;6.26153986600184;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.1417620739994163;0;False;12.15727718999915;0;False;3.286005391000799;0;False;6.01723106999998;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.2378225889988244;0;False;12.724002234001091;0;False;2.831877455002541;0;False;6.017899685000884;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.1853522769997653;0;False;12.16117078499883;0;False;3.150459406002483;0;False;6.1129641640000045;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.342009240997868;0;False;12.215288358998805;0;False;3.0442780459998176;0;False;5.908073080998292;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.1493890860001557;0;False;12.3691296399993;0;False;3.0426725690012972;0;False;5.859030526000424;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/quantifiers1.sil;3.191648502001044;0;False;12.506474273999629;0;False;2.840850565000437;0;False;5.81768651099992;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;8.080026978001115;0;False;3.300439136000932;131;False;4.202222553998581;0;False;1.6264088569987507;131;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.862977812997997;0;False;2.43101398699946;131;False;4.2558020950018545;0;False;1.3272371019993443;131;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.864635639998596;0;False;3.006887319999805;131;False;3.6992992060004326;0;False;1.2732713339973998;131;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.361848751999787;0;False;3.589082717000565;131;False;3.597047454000858;0;False;1.0230963680005516;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.818179132998921;0;False;3.5371027159999358;131;False;3.550765911997587;0;False;0.8692759839977953;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.610125046001485;0;False;4.037798667999596;131;False;3.45343073299955;0;False;0.930698628002574;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.41683242399813;0;False;3.8442246859995066;131;False;3.551752141000179;0;False;0.9256414500014216;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.463370173998555;0;False;4.346970201000659;0;False;3.3958878429984907;0;False;0.9195073610026157;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;6.310996726002486;0;False;3.8960799790002056;0;False;3.4470496790017933;0;False;0.9285876819994883;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates2.sil;7.030521762000717;0;False;3.988115841999388;0;False;3.446379356999387;0;False;0.9702523160012788;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;19.41104945099869;0;False;2.130403130002378;0;False;12.148156552997534;0;False;0.9770118840024224;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;19.355187345998274;0;False;1.6798185520019615;0;False;10.957106490001024;0;False;0.8704039649965125;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;18.302330104001157;0;False;1.228837951002788;0;False;11.099192075998872;0;False;0.9775002079986734;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;18.041007129999343;0;False;1.128343522999785;0;False;10.814516050002567;0;False;0.6689779279986396;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;17.452609946998564;0;False;1.1229665689970716;0;False;11.881826338001702;0;False;0.7220366959991225;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;16.536188738999044;0;False;1.202239088001079;0;False;10.344686192998779;0;False;0.8709868590012775;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;16.673416276000353;0;False;1.2148555190033221;0;False;9.988584454000375;0;False;0.670209875999717;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;18.01767600200037;0;False;0.9725894490002247;0;False;10.651032254998427;0;False;0.6204556169977877;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;16.581332624002243;0;False;1.023321358999965;0;False;10.318443184001808;0;False;0.570521893001569;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/fields1.sil;16.82759506900038;0;False;0.8698915550012316;0;False;11.271222865001619;0;False;0.6702201879998029;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates1.sil;2.990203694000229;0;False;1.6824473460001172;0;False;3.0948539429991797;0;False;0.6708236249978654;0;False
../arp-plugin/src/test/resources/arp/performance/noarp/predicates1.sil;2.692048298998998;0;False;1.175011502000416;0;False;3.003840355002467;0;False;0.6236596009985078;0;False
